A,G,GP,PIM,Pts,draft_num,draft_team,draft_year,junior_team,name,pos,round_num
0,0,0,0,0,207,Florida,2018,Pelicans-2 (Finland Jrs.),Santtu Kinnunen,D,7
0,0,0,0,0,208,Vegas,2018,London Knights [OHL],Jordan Kooy,G,7
0,0,0,0,0,209,Toronto,2018,Chicoutimi Sagueneens [QMJHL],Zachary Bouthillier,G,7
0,0,0,0,0,210,Minnesota,2018,Tri-City Storm [USHL],Sam Hentges,L,7
0,0,0,0,0,211,Toronto,2018,Togliatti-2 (Russia Jrs.),Semyon Kizimov,R,7
0,0,0,0,0,212,Boston,2018,Khanty-Mansiysk Yugra [KHL],Pavel Shen,C,7
0,0,0,0,0,213,Nashville,2018,Pardubice HC [Czech],Milan Kloucek,G,7
0,0,0,0,0,214,Tampa Bay,2018,Vernon Vipers [BCHL],Ty Taylor,G,7
0,0,0,0,0,215,Winnipeg,2018,Okotoks Oilers [AJHL],Austin Wong,C,7
0,0,0,0,0,216,NY Rangers,2018,St. Sebastian (Mass. H.S.),Riley Hughes,R,7
0,0,0,0,0,217,Washington,2018,Saskatoon Blades [WHL],Eric Florchuk,C,7
62,37,151,50,99,1,New Jersey,2017,Halifax Mooseheads [QMJHL],Nico Hischier,C,1
35,26,145,57,61,2,Philadelphia,2017,Brandon Wheat Kings [WHL],Nolan Patrick,C,1
21,12,82,16,33,3,Dallas,2017,HIFK Helsinki [SM-liiga],Miro Heiskanen,D,1
0,0,0,0,0,4,Colorado,2017,Brooks Bandits [AJHL],Cale Makar,D,1
38,28,71,12,66,5,Vancouver,2017,Timra IK [Swe-1],Elias Pettersson,C,1
0,0,0,0,0,6,Vegas,2017,Portland Winterhawks [WHL],Cody Glass,C,1
5,3,49,29,8,7,NY Rangers,2017,HV71 Jonkoping [SweHL],Lias Andersson,C,1
17,13,83,12,30,8,Buffalo,2017,Green Bay Gamblers [USHL],Casey Mittelstadt,C,1
10,8,62,29,18,9,Detroit,2017,Tri-City Americans [WHL],Michael Rasmussen,C,1
0,1,7,0,1,10,Florida,2017,Mississauga Steelheads [OHL],Owen Tippett,R,1
0,0,0,0,0,11,Los Angeles,2017,Windsor Spitfires [OHL],Gabriel Vilardi,C,1
1,1,8,2,2,12,Carolina,2017,Brno Kometa [Czech],Martin Necas,C,1
0,0,0,0,0,13,Vegas,2017,Owen Sound Attack [OHL],Nick Suzuki,C,1
0,0,0,0,0,14,Tampa Bay,2017,Kelowna Rockets [WHL],Cal Foote,D,1
0,0,2,0,0,15,Vegas,2017,HV71 Jonkoping [SweHL],Erik Brannstrom,D,1
2,1,24,12,3,16,Calgary,2017,Tri-City Americans [WHL],Juuso Valimaki,D,1
0,0,0,0,0,17,Toronto,2017,Rogle BK Angelholm [SweHL],Timothy Liljegren,D,1
0,0,2,0,0,18,Boston,2017,JyP HT Jyvaskyla [SM-liiga],Urho Vaakanainen,D,1
0,0,0,0,0,19,San Jose,2017,U.S. National Development Team [USHL],Josh Norris,C,1
24,9,70,14,33,20,St. Louis,2017,London Knights [OHL],Robert Thomas,C,1
14,12,84,12,26,21,NY Rangers,2017,Zlin ZPS HC [Czech],Filip Chytil,C,1
4,1,26,4,5,22,Edmonton,2017,Spokane Chiefs [WHL],Kailer Yamamoto,R,1
0,0,0,0,0,23,Arizona,2017,Charlottetown Islanders [QMJHL],Pierre-Olivier Joseph,D,1
1,0,5,0,1,24,Winnipeg,2017,Frolunda HC [SweHL],Kristian Vesalainen,L,1
0,3,1,0,3,25,Montreal,2017,St. Cloud State [NCHC],Ryan Poehling,C,1
0,0,0,0,0,26,Dallas,2017,Boston University [H-East],Jake Oettinger,G,1
0,0,0,0,0,27,Philadelphia,2017,Soo Greyhounds [OHL],Morgan Frost,C,1
0,0,0,0,0,28,Ottawa,2017,Waterloo Black Hawks [USHL],Shane Bowers,C,1
12,0,38,16,12,29,Chicago,2017,Portland Winterhawks [WHL],Henri Jokiharju,D,1
1,1,7,0,2,30,Nashville,2017,Sioux City Musketeers [USHL],Eeli Tolvanen,R,1
0,0,0,0,0,31,St. Louis,2017,Moscow Dynamo [KHL],Klim Kostin,C,1
0,0,0,0,0,32,Colorado,2017,Soo Greyhounds [OHL],Conor Timmins,D,2
0,0,0,0,0,33,Vancouver,2017,Kelowna Rockets [WHL],Kole Lind,R,2
0,0,0,0,0,34,Vegas,2017,Mississauga Steelheads [OHL],Nicolas Hague,D,2
0,0,0,0,0,35,Philadelphia,2017,Guelph Storm [OHL],Isaac Ratcliffe,L,2
0,0,0,0,0,36,New Jersey,2017,Brynas IF Gavle [SweHL],Jesper Boqvist,C,2
0,0,0,0,0,37,Buffalo,2017,Djurgardens IF [SweHL],Marcus Davidsson,C,2
0,0,0,0,0,38,Detroit,2017,Almtuna IS [Swe-1],Gustav Lindstrom,D,2
0,0,0,0,0,39,Dallas,2017,Kingston Frontenacs [OHL],Jason Robertson,R,2
0,0,0,0,0,40,Florida,2017,Swift Current Broncos [WHL],Aleksi Heponiemi,C,2
1,0,5,0,1,41,Los Angeles,2017,Spokane Chiefs [WHL],Jaret Anderson-Dolan,C,2
0,0,0,0,0,42,Carolina,2017,KalPa Kuopio [SM-liiga],Eetu Luostarinen,C,2
0,0,0,0,0,43,Winnipeg,2017,Hermantown [Minn. H.S.],Dylan Samberg,D,2
0,0,0,0,0,44,Arizona,2017,Frolunda HC [SweHL],Filip Westerlund,D,2
0,1,2,0,1,45,Columbus,2017,Grenoble [France],Alexandre Texier,C,2
0,0,0,0,0,46,NY Islanders,2017,Sport Vaasa [SM-liiga],Robin Salo,D,2
0,1,10,6,1,47,Ottawa,2017,London Knights [OHL],Alex Formenton,L,2
0,0,0,0,0,48,Tampa Bay,2017,St. Petersburg [Russia-Jr],Alexander Volkov,L,2
0,0,0,0,0,49,San Jose,2017,Des Moines Buccaneers [USHL],Mario Ferraro,D,2
5,2,10,7,7,50,Anaheim,2017,Victoriaville Tigres [QMJHL],Maxime Comtois,L,2
0,0,0,0,0,51,Pittsburgh,2017,Rouyn-Noranda Huskies [QMJHL],Zachary Lauzon,D,2
0,0,0,0,0,52,Carolina,2017,U. of Michigan [Big-10],Luke Martin,D,2
0,0,0,0,0,53,Boston,2017,Oshawa Generals [OHL],Jack Studnicka,C,2
0,0,0,0,0,54,Buffalo,2017,HPK [Finland-Jr],Ukko-Pekka Luukkonen,G,2
0,0,0,0,0,55,Vancouver,2017,Owen Sound Attack [OHL],Jonah Gadjovich,L,2
0,0,0,0,0,56,Montreal,2017,Moose Jaw Warriors [WHL],Josh Brook,D,2
0,0,0,0,0,57,Chicago,2017,Spruce Grove Saints [AJHL],Ian Mitchell,D,2
0,0,0,0,0,58,Montreal,2017,Frolunda [Sweden-Jr],Joni Ikonen,C,2
0,0,0,0,0,59,Toronto,2017,Kingston Frontenacs [OHL],Eemeli Rasanen,D,2
0,0,0,0,0,60,Anaheim,2017,Acadie-Bathurst Titan [QMJHL],Antoine Morand,C,2
0,0,0,0,0,61,Nashville,2017,U.S. National Development Team [USHL],Grant Mismash,L,2
0,0,0,0,0,62,Vegas,2017,Regina Pats [WHL],Jake Leschyshyn,C,2
0,0,0,0,0,63,New Jersey,2017,Farjestads BK Karlstad [SweHL],Fabian Zetterlund,C,3
0,0,1,0,0,64,Vancouver,2017,Windsor Spitfires [OHL],Michael DiPietro,G,3
0,0,0,0,0,65,Vegas,2017,Vaxjo HC [SweHL],Jonas Rondbjerg,C,3
