A,G,GP,PIM,Pts,draft_num,draft_team,junior_team,name,pos,round_num
0,0,0,0,0,163,NY Rangers,Rogle-2 (Sweden Jrs.),Simon Kjellberg,D,6
0,0,0,0,0,164,Edmonton,New Hampton School (New Hamp. H.S.),Mike Kesselring,D,6
0,0,0,0,0,165,Los Angeles,Linkopings HC [SweHL],Johan Sodergran,R,6
0,0,0,0,0,166,Carolina,MODO Hockey Ornskoldsvik [Swe-1],Jesper Sellgren,D,6
0,0,0,0,0,167,Calgary,Muskegon Lumberjacks [USHL],Emilio Pettersen,C,6
0,0,0,0,0,168,Dallas,Red Deer Rebels [WHL],Dawson Barteaux,D,6
0,0,0,0,0,169,St. Louis,Cape Breton Screaming Eagles [QMJHL],Mathias Laferriere,R,6
0,0,0,0,0,170,Florida,RB Hockey Akademia (Czech Jrs.),Justin Schutz,L,6
0,0,0,0,0,171,Colorado,Yaroslavl-2 (Russia Jrs.),Nikolai Kovalenko,R,6
0,0,0,0,0,172,New Jersey,Ottawa 67's [OHL],Mitchell Hoelscher,C,6
0,0,0,0,0,173,Columbus,Karpat [SM-liiga],Veini Vehvilainen,G,6
0,0,0,0,0,174,Philadelphia,U.S. National Under-18 Team [USHL],Gavin Hain,C,6
0,0,0,0,0,175,Los Angeles,Mississauga Steelheads [OHL],Jacob Ingham,G,6
0,0,0,0,0,176,San Jose,Rouyn-Noranda Huskies [QMJHL],Zachary Emond,G,6
0,0,0,0,0,177,Pittsburgh,St. Sebastian's School (Mass. H.S.),Liam Gorman,F,6
0,0,0,0,0,178,Anaheim,Charlottetown Islanders [QMJHL],Hunter Drew,D,6
0,0,0,0,0,179,Minnesota,Gatineau Olympiques [QMJHL],Shawn Boudrias,R,6
0,0,0,0,0,180,Vegas,Salisbury (Conn. H.S.),Peter Diliberatore,D,6
0,0,0,0,0,181,Boston,Pickering Panthers [OJHL],Dustyn McFaul,D,6
0,0,0,0,0,182,San Jose,UMass-Amherst [H-East],John Leonard,C,6
0,0,0,0,0,183,Tampa Bay,Sioux City Musketeers [USHL],Cole Koepke,F,6
0,0,0,0,0,184,Winnipeg,Waterloo Black Hawks [USHL],Jared Moe,G,6
0,0,0,0,0,185,Vegas,Baie-Comeau Drakkar [QMJHL],Xavier Bouchard,D,6
0,0,0,0,0,186,Vancouver,Omsk-2 (Russia Jrs.),Artem Manukyan,F,6
0,0,0,0,0,187,Buffalo,Linkoping-2 (Sweden Jrs.),William Worge-Kreu,D,7
0,0,0,0,0,188,Ottawa,Janesville Jets [NAHL],Jakov Novak,F,7
0,0,0,0,0,189,Arizona,Sheffield Steelers [EIHL],Liam Kirk,L,7
0,0,0,0,0,190,Montreal,Vernon Vipers [BCHL],Brett Stapley,C,7
0,0,0,0,0,191,Detroit,Assat-2 (Finland Jrs.),Otto Kivenmaki,C,7
0,0,0,0,0,192,Vancouver,Steinbach Pistons [MJHL],Matthew Thiessen,G,7
0,0,0,0,0,193,Chicago,Lincoln Stars [USHL],Josiah Slavin,L,7
0,0,0,0,0,194,Ottawa,Minnetonka (Minn. H.S.),Luke Loheit,R,7
0,0,0,0,0,195,Edmonton,Blues-2 (Finland Jrs.),Patrik Siikanen,L,7
0,0,0,0,0,196,NY Islanders,Lincoln Stars [USHL],Christian Krygier,D,7
0,0,0,0,0,197,Carolina,Des Moines Buccaneers [USHL],Jacob Kucharski,G,7
0,0,0,0,0,198,Calgary,Rimouski Oceanic [QMJHL],Dmitry Zavgorodniy,L,7
0,0,0,0,0,199,Dallas,Kamloops Blazers [WHL],Jermaine Loewen,R,7
0,0,0,0,0,200,St. Louis,Barrie Colts [OHL],Tyler Tucker,D,7
0,0,0,0,0,201,Florida,Lincoln Stars [USHL],Cole Krygier,D,7
0,0,0,0,0,202,Colorado,Novosibirsk-2 (Russia Jrs.),Shamil Shmakov,G,7
0,0,0,0,0,203,New Jersey,Karpat-2 (Finland Jrs.),Eetu Pakkila,L,7
0,0,0,0,0,204,Columbus,Edmonton Oil Kings [WHL],Trey Fix-Wolansky,R,7
0,0,0,0,0,205,Philadelphia,Brynas IF Gavle [SweHL],Marcus Westfalt,L,7
0,0,0,0,0,206,Tampa Bay,Saint John Sea Dogs [QMJHL],Radim Salda,D,7
0,0,0,0,0,207,Florida,Pelicans-2 (Finland Jrs.),Santtu Kinnunen,D,7
0,0,0,0,0,208,Vegas,London Knights [OHL],Jordan Kooy,G,7
0,0,0,0,0,209,Toronto,Chicoutimi Sagueneens [QMJHL],Zachary Bouthillier,G,7
0,0,0,0,0,210,Minnesota,Tri-City Storm [USHL],Sam Hentges,L,7
0,0,0,0,0,211,Toronto,Togliatti-2 (Russia Jrs.),Semyon Kizimov,R,7
0,0,0,0,0,212,Boston,Khanty-Mansiysk Yugra [KHL],Pavel Shen,C,7
0,0,0,0,0,213,Nashville,Pardubice HC [Czech],Milan Kloucek,G,7
0,0,0,0,0,214,Tampa Bay,Vernon Vipers [BCHL],Ty Taylor,G,7
0,0,0,0,0,215,Winnipeg,Okotoks Oilers [AJHL],Austin Wong,C,7
0,0,0,0,0,216,NY Rangers,St. Sebastian (Mass. H.S.),Riley Hughes,R,7
0,0,0,0,0,217,Washington,Saskatoon Blades [WHL],Eric Florchuk,C,7
62,37,151,50,99,1,New Jersey,Halifax Mooseheads [QMJHL],Nico Hischier,C,1
35,26,145,57,61,2,Philadelphia,Brandon Wheat Kings [WHL],Nolan Patrick,C,1
21,12,82,16,33,3,Dallas,HIFK Helsinki [SM-liiga],Miro Heiskanen,D,1
0,0,0,0,0,4,Colorado,Brooks Bandits [AJHL],Cale Makar,D,1
38,28,71,12,66,5,Vancouver,Timra IK [Swe-1],Elias Pettersson,C,1
0,0,0,0,0,6,Vegas,Portland Winterhawks [WHL],Cody Glass,C,1
5,3,49,29,8,7,NY Rangers,HV71 Jonkoping [SweHL],Lias Andersson,C,1
17,13,83,12,30,8,Buffalo,Green Bay Gamblers [USHL],Casey Mittelstadt,C,1
10,8,62,29,18,9,Detroit,Tri-City Americans [WHL],Michael Rasmussen,C,1
0,1,7,0,1,10,Florida,Mississauga Steelheads [OHL],Owen Tippett,R,1
0,0,0,0,0,11,Los Angeles,Windsor Spitfires [OHL],Gabriel Vilardi,C,1
1,1,8,2,2,12,Carolina,Brno Kometa [Czech],Martin Necas,C,1
0,0,0,0,0,13,Vegas,Owen Sound Attack [OHL],Nick Suzuki,C,1
0,0,0,0,0,14,Tampa Bay,Kelowna Rockets [WHL],Cal Foote,D,1
0,0,2,0,0,15,Vegas,HV71 Jonkoping [SweHL],Erik Brannstrom,D,1
2,1,24,12,3,16,Calgary,Tri-City Americans [WHL],Juuso Valimaki,D,1
0,0,0,0,0,17,Toronto,Rogle BK Angelholm [SweHL],Timothy Liljegren,D,1
0,0,2,0,0,18,Boston,JyP HT Jyvaskyla [SM-liiga],Urho Vaakanainen,D,1
0,0,0,0,0,19,San Jose,U.S. National Development Team [USHL],Josh Norris,C,1
24,9,70,14,33,20,St. Louis,London Knights [OHL],Robert Thomas,C,1
14,12,84,12,26,21,NY Rangers,Zlin ZPS HC [Czech],Filip Chytil,C,1
4,1,26,4,5,22,Edmonton,Spokane Chiefs [WHL],Kailer Yamamoto,R,1
0,0,0,0,0,23,Arizona,Charlottetown Islanders [QMJHL],Pierre-Olivier Joseph,D,1
1,0,5,0,1,24,Winnipeg,Frolunda HC [SweHL],Kristian Vesalainen,L,1
0,3,1,0,3,25,Montreal,St. Cloud State [NCHC],Ryan Poehling,C,1
0,0,0,0,0,26,Dallas,Boston University [H-East],Jake Oettinger,G,1
0,0,0,0,0,27,Philadelphia,Soo Greyhounds [OHL],Morgan Frost,C,1
0,0,0,0,0,28,Ottawa,Waterloo Black Hawks [USHL],Shane Bowers,C,1
12,0,38,16,12,29,Chicago,Portland Winterhawks [WHL],Henri Jokiharju,D,1
1,1,7,0,2,30,Nashville,Sioux City Musketeers [USHL],Eeli Tolvanen,R,1
0,0,0,0,0,31,St. Louis,Moscow Dynamo [KHL],Klim Kostin,C,1
0,0,0,0,0,32,Colorado,Soo Greyhounds [OHL],Conor Timmins,D,2
0,0,0,0,0,33,Vancouver,Kelowna Rockets [WHL],Kole Lind,R,2
0,0,0,0,0,34,Vegas,Mississauga Steelheads [OHL],Nicolas Hague,D,2
0,0,0,0,0,35,Philadelphia,Guelph Storm [OHL],Isaac Ratcliffe,L,2
0,0,0,0,0,36,New Jersey,Brynas IF Gavle [SweHL],Jesper Boqvist,C,2
0,0,0,0,0,37,Buffalo,Djurgardens IF [SweHL],Marcus Davidsson,C,2
0,0,0,0,0,38,Detroit,Almtuna IS [Swe-1],Gustav Lindstrom,D,2
0,0,0,0,0,39,Dallas,Kingston Frontenacs [OHL],Jason Robertson,R,2
0,0,0,0,0,40,Florida,Swift Current Broncos [WHL],Aleksi Heponiemi,C,2
1,0,5,0,1,41,Los Angeles,Spokane Chiefs [WHL],Jaret Anderson-Dolan,C,2
0,0,0,0,0,42,Carolina,KalPa Kuopio [SM-liiga],Eetu Luostarinen,C,2
0,0,0,0,0,43,Winnipeg,Hermantown [Minn. H.S.],Dylan Samberg,D,2
0,0,0,0,0,44,Arizona,Frolunda HC [SweHL],Filip Westerlund,D,2
0,1,2,0,1,45,Columbus,Grenoble [France],Alexandre Texier,C,2
0,0,0,0,0,46,NY Islanders,Sport Vaasa [SM-liiga],Robin Salo,D,2
0,1,10,6,1,47,Ottawa,London Knights [OHL],Alex Formenton,L,2
0,0,0,0,0,48,Tampa Bay,St. Petersburg [Russia-Jr],Alexander Volkov,L,2
0,0,0,0,0,49,San Jose,Des Moines Buccaneers [USHL],Mario Ferraro,D,2
5,2,10,7,7,50,Anaheim,Victoriaville Tigres [QMJHL],Maxime Comtois,L,2
0,0,0,0,0,51,Pittsburgh,Rouyn-Noranda Huskies [QMJHL],Zachary Lauzon,D,2
0,0,0,0,0,52,Carolina,U. of Michigan [Big-10],Luke Martin,D,2
0,0,0,0,0,53,Boston,Oshawa Generals [OHL],Jack Studnicka,C,2
0,0,0,0,0,54,Buffalo,HPK [Finland-Jr],Ukko-Pekka Luukkonen,G,2
0,0,0,0,0,55,Vancouver,Owen Sound Attack [OHL],Jonah Gadjovich,L,2
0,0,0,0,0,56,Montreal,Moose Jaw Warriors [WHL],Josh Brook,D,2
0,0,0,0,0,57,Chicago,Spruce Grove Saints [AJHL],Ian Mitchell,D,2
0,0,0,0,0,58,Montreal,Frolunda [Sweden-Jr],Joni Ikonen,C,2
0,0,0,0,0,59,Toronto,Kingston Frontenacs [OHL],Eemeli Rasanen,D,2
0,0,0,0,0,60,Anaheim,Acadie-Bathurst Titan [QMJHL],Antoine Morand,C,2
0,0,0,0,0,61,Nashville,U.S. National Development Team [USHL],Grant Mismash,L,2
0,0,0,0,0,62,Vegas,Regina Pats [WHL],Jake Leschyshyn,C,2
0,0,0,0,0,63,New Jersey,Farjestads BK Karlstad [SweHL],Fabian Zetterlund,C,3
0,0,1,0,0,64,Vancouver,Windsor Spitfires [OHL],Michael DiPietro,G,3
0,0,0,0,0,65,Vegas,Vaxjo HC [SweHL],Jonas Rondbjerg,C,3
0,0,0,0,0,66,Florida,U.S. National Development Team [USHL],Max Gildon,D,3
0,0,0,0,0,67,Carolina,Tri-City Americans [WHL],Morgan Geekie,C,3
0,0,0,0,0,68,Montreal,Victoria Royals [WHL],Scott Walford,D,3
0,0,0,0,0,69,Arizona,Hamilton Bulldogs [OHL],MacKenzie Entwistle,R,3
0,0,0,0,0,70,Chicago,St. Petersburg [Russia-Jrs],Andrei Altybarmakyan,R,3
0,0,0,0,0,71,Detroit,Sioux Falls Stampede [USHL],Kasper Kotkansalo,D,3
0,0,0,0,0,72,Los Angeles,Soo Greyhounds [OHL],Matthew Villalta,G,3
0,0,0,0,0,73,Carolina,Brandon Wheat Kings [WHL],Stelio Mattheos,R,3
0,0,0,0,0,74,Winnipeg,Merrimack College [H-East],Jonathan Kovacevic,D,3
0,0,0,0,0,75,Arizona,Guelph Storm [OHL],Nate Schnarr,C,3
0,0,0,0,0,76,Tampa Bay,Balashika [Russia-Jrs],Alexei Lipanov,C,3
0,0,0,0,0,77,NY Islanders,Chicago Steel [USHL],Ben Mirageas,D,3
0,0,0,0,0,78,Edmonton,Lethbridge Hurricanes [WHL],Stuart Skinner,G,3
0,0,0,0,0,79,Detroit,Red Deer Rebels [WHL],Lane Zablocki,R,3
0,0,0,0,0,80,Philadelphia,St. Petersburg [Russia-Jrs],Kirill Ustimenko,G,3
0,0,0,0,0,81,New Jersey,Chicago Steel [USHL],Reilly Walsh,D,3
0,0,0,0,0,82,Arizona,Brockville Braves [CCHL],Cameron Crotty,D,3
0,0,0,0,0,83,Detroit,Peterborough Petes [OHL],Zachary Gallant,C,3
0,0,0,0,0,84,Edmonton,Guelph Storm [OHL],Dmitri Samorukov,D,3
